,Zaman,Duygu
0,14:31:12,Kizgin
1,14:31:12,Kizgin
2,14:31:12,Kizgin
3,14:31:12,Kizgin
4,14:31:13,Dogal
5,14:31:13,Dogal
6,14:31:13,Korku
7,14:31:13,Kizgin
8,14:31:13,Dogal
9,14:31:13,Dogal
10,14:31:13,Dogal
11,14:31:13,Korku
12,14:31:13,Korku
13,14:31:13,Korku
14,14:31:13,Dogal
15,14:31:14,Dogal
16,14:31:14,Dogal
17,14:31:14,Dogal
18,14:31:14,Dogal
19,14:31:14,Kizgin
20,14:31:14,Dogal
21,14:31:14,Uzgun
22,14:31:14,Dogal
23,14:31:14,Korku
24,14:31:14,Korku
25,14:31:14,Dogal
26,14:31:14,Korku
27,14:31:14,Korku
28,14:31:14,Mutlu
29,14:31:14,Mutlu
30,14:31:14,Mutlu
31,14:31:14,Mutlu
32,14:31:14,Mutlu
33,14:31:15,Mutlu
34,14:31:15,Mutlu
35,14:31:15,Mutlu
36,14:31:15,Mutlu
37,14:31:15,Mutlu
38,14:31:15,Mutlu
39,14:31:15,Mutlu
40,14:31:15,Mutlu
41,14:31:15,Mutlu
42,14:31:15,Mutlu
43,14:31:15,Mutlu
44,14:31:15,Mutlu
45,14:31:15,Mutlu
46,14:31:15,Mutlu
47,14:31:15,Mutlu
48,14:31:15,Mutlu
49,14:31:15,Mutlu
50,14:31:15,Mutlu
51,14:31:15,Mutlu
52,14:31:16,Mutlu
53,14:31:16,Mutlu
54,14:31:16,Mutlu
55,14:31:16,Mutlu
56,14:31:16,Mutlu
57,14:31:16,Mutlu
58,14:31:16,Mutlu
59,14:31:16,Mutlu
60,14:31:16,Mutlu
61,14:31:16,Mutlu
62,14:31:16,Mutlu
63,14:31:16,Mutlu
64,14:31:16,Mutlu
65,14:31:16,Mutlu
66,14:31:16,Mutlu
67,14:31:16,Mutlu
68,14:31:16,Mutlu
69,14:31:17,Mutlu
70,14:31:17,Mutlu
71,14:31:17,Mutlu
72,14:31:17,Mutlu
73,14:31:17,Mutlu
74,14:31:17,Mutlu
75,14:31:17,Mutlu
76,14:31:17,Mutlu
77,14:31:17,Mutlu
78,14:31:17,Mutlu
79,14:31:17,Mutlu
80,14:31:17,Mutlu
81,14:31:17,Mutlu
82,14:31:17,Mutlu
83,14:31:17,Mutlu
84,14:31:17,Mutlu
85,14:31:17,Mutlu
86,14:31:17,Mutlu
87,14:31:18,Mutlu
88,14:31:18,Mutlu
89,14:31:18,Mutlu
90,14:31:18,Mutlu
91,14:31:18,Mutlu
92,14:31:18,Mutlu
93,14:31:18,Mutlu
94,14:31:18,Mutlu
95,14:31:18,Mutlu
96,14:31:18,Mutlu
97,14:31:18,Mutlu
98,14:31:18,Mutlu
99,14:31:18,Mutlu
100,14:31:18,Mutlu
101,14:31:18,Mutlu
102,14:31:18,Mutlu
103,14:31:18,Mutlu
104,14:31:18,Mutlu
105,14:31:19,Mutlu
106,14:31:19,Mutlu
107,14:31:19,Mutlu
108,14:31:19,Mutlu
109,14:31:19,Mutlu
110,14:31:19,Mutlu
111,14:31:19,Mutlu
112,14:31:19,Mutlu
113,14:31:19,Mutlu
114,14:31:19,Mutlu
115,14:31:19,Mutlu
116,14:31:19,Mutlu
117,14:31:19,Mutlu
118,14:31:19,Mutlu
119,14:31:19,Mutlu
120,14:31:19,Mutlu
121,14:31:19,Mutlu
122,14:31:19,Mutlu
123,14:31:20,Mutlu
124,14:31:20,Mutlu
125,14:31:20,Mutlu
126,14:31:20,Mutlu
127,14:31:20,Mutlu
128,14:31:20,Mutlu
129,14:31:20,Mutlu
130,14:31:20,Mutlu
131,14:31:20,Mutlu
132,14:31:20,Mutlu
133,14:31:20,Mutlu
134,14:31:20,Mutlu
135,14:31:20,Mutlu
136,14:31:20,Mutlu
137,14:31:20,Mutlu
138,14:31:20,Mutlu
139,14:31:20,Mutlu
140,14:31:20,Mutlu
141,14:31:21,Mutlu
142,14:31:21,Mutlu
143,14:31:21,Mutlu
144,14:31:21,Mutlu
145,14:31:21,Mutlu
146,14:31:21,Mutlu
147,14:31:21,Mutlu
148,14:31:21,Mutlu
149,14:31:21,Korku
150,14:31:21,Mutlu
151,14:31:21,Mutlu
152,14:31:21,Korku
153,14:31:21,Mutlu
154,14:31:21,Dogal
155,14:31:21,Korku
156,14:31:21,Korku
157,14:31:21,Korku
158,14:31:21,Korku
159,14:31:22,Korku
160,14:31:22,Korku
161,14:31:22,Korku
162,14:31:22,Korku
163,14:31:22,Korku
164,14:31:22,Korku
165,14:31:22,Korku
166,14:31:22,Korku
167,14:31:22,Korku
168,14:31:22,Korku
169,14:31:22,Korku
170,14:31:22,Korku
171,14:31:22,Korku
172,14:31:22,Korku
173,14:31:22,Korku
174,14:31:22,Korku
175,14:31:22,Korku
176,14:31:23,Korku
177,14:31:23,Korku
178,14:31:23,Korku
179,14:31:23,Korku
180,14:31:23,Korku
181,14:31:23,Kizgin
182,14:31:23,Uzgun
183,14:31:23,Uzgun
184,14:31:23,Uzgun
185,14:31:23,Kizgin
186,14:31:23,Korku
187,14:31:23,Uzgun
188,14:31:23,Dogal
189,14:31:23,Uzgun
190,14:31:23,Korku
191,14:31:24,Dogal
192,14:31:24,Dogal
193,14:31:24,Dogal
194,14:31:24,Korku
195,14:31:24,Korku
196,14:31:25,Dogal
197,14:31:25,Dogal
198,14:31:25,Korku
199,14:31:25,Korku
200,14:31:25,Uzgun
201,14:31:25,Uzgun
202,14:31:25,Korku
203,14:31:25,Uzgun
204,14:31:25,Uzgun
205,14:31:25,Uzgun
206,14:31:26,Uzgun
207,14:31:26,Uzgun
208,14:31:26,Korku
209,14:31:26,Korku
210,14:31:27,Korku
211,14:31:27,Dogal
212,14:31:27,Korku
213,14:31:27,Uzgun
214,14:31:27,Korku
215,14:31:27,Korku
216,14:31:27,Korku
217,14:31:27,Korku
218,14:31:27,Korku
219,14:31:27,Korku
220,14:31:27,Uzgun
221,14:31:27,Korku
222,14:31:27,Korku
223,14:31:27,Korku
224,14:31:28,Korku
225,14:31:28,Korku
226,14:31:28,Dogal
227,14:31:28,Dogal
228,14:31:29,Dogal
229,14:31:29,Dogal
230,14:31:29,Dogal
231,14:31:29,Dogal
232,14:31:29,Dogal
233,14:31:29,Dogal
234,14:31:29,Dogal
235,14:31:29,Dogal
236,14:31:29,Dogal
237,14:31:29,Dogal
238,14:31:29,Dogal
239,14:31:29,Dogal
240,14:31:29,Dogal
241,14:31:30,Dogal
242,14:31:30,Dogal
243,14:31:30,Dogal
244,14:31:30,Saskin
245,14:31:30,Korku
246,14:31:30,Dogal
247,14:31:30,Korku
248,14:31:30,Korku
249,14:31:30,Korku
250,14:31:30,Dogal
251,14:31:30,Dogal
252,14:31:30,Korku
253,14:31:30,Dogal
254,14:31:30,Korku
255,14:31:30,Korku
256,14:31:30,Korku
257,14:31:31,Dogal
258,14:31:31,Dogal
259,14:31:31,Mutlu
260,14:31:31,Uzgun
261,14:31:31,Uzgun
262,14:31:31,Uzgun
263,14:31:31,Uzgun
264,14:31:31,Uzgun
265,14:31:31,Uzgun
266,14:31:31,Uzgun
267,14:31:31,Uzgun
268,14:31:31,Uzgun
269,14:31:31,Mutlu
270,14:31:31,Mutlu
271,14:31:31,Mutlu
272,14:31:31,Mutlu
273,14:31:32,Mutlu
274,14:31:32,Mutlu
275,14:31:32,Korku
276,14:31:32,Uzgun
277,14:31:32,Korku
278,14:31:32,Uzgun
279,14:31:32,Korku
280,14:31:32,Uzgun
281,14:31:32,Uzgun
282,14:31:32,Korku
283,14:31:32,Uzgun
284,14:31:32,Korku
285,14:31:32,Korku
286,14:31:32,Korku
287,14:31:32,Korku
288,14:31:33,Korku
289,14:31:33,Korku
290,14:31:33,Korku
291,14:31:33,Korku
292,14:31:33,Korku
293,14:31:33,Korku
294,14:31:33,Korku
295,14:31:33,Korku
296,14:31:33,Korku
297,14:31:33,Korku
298,14:31:33,Korku
299,14:31:33,Korku
300,14:31:33,Korku
301,14:31:33,Kizgin
302,14:31:33,Uzgun
303,14:31:33,Korku
304,14:31:33,Uzgun
305,14:31:34,Uzgun
306,14:31:34,Korku
307,14:31:34,Uzgun
308,14:31:34,Korku
309,14:31:34,Uzgun
310,14:31:34,Korku
311,14:31:34,Kizgin
312,14:31:34,Korku
313,14:31:34,Korku
314,14:31:34,Korku
315,14:31:34,Korku
316,14:31:34,Korku
317,14:31:34,Uzgun
318,14:31:34,Dogal
319,14:31:34,Korku
320,14:31:34,Korku
321,14:31:34,Korku
322,14:31:35,Korku
323,14:31:35,Korku
324,14:31:35,Korku
325,14:31:35,Korku
326,14:31:35,Korku
327,14:31:35,Korku
328,14:31:35,Korku
329,14:31:35,Dogal
330,14:31:35,Korku
331,14:31:35,Korku
332,14:31:35,Korku
333,14:31:35,Korku
334,14:31:35,Uzgun
335,14:31:35,Korku
336,14:31:35,Korku
337,14:31:35,Korku
338,14:31:35,Korku
339,14:31:36,Korku
340,14:31:36,Korku
341,14:31:36,Korku
342,14:31:36,Korku
343,14:31:36,Korku
344,14:31:36,Korku
345,14:31:36,Korku
346,14:31:36,Korku
347,14:31:36,Korku
348,14:31:36,Korku
349,14:31:36,Korku
350,14:31:36,Korku
351,14:31:36,Kizgin
352,14:31:36,Korku
353,14:31:36,Korku
354,14:31:36,Korku
355,14:31:37,Korku
356,14:31:37,Korku
357,14:31:37,Korku
358,14:31:37,Korku
359,14:31:37,Korku
360,14:31:37,Korku
361,14:31:37,Korku
362,14:31:37,Korku
363,14:31:37,Korku
364,14:31:37,Korku
365,14:31:37,Korku
366,14:31:37,Korku
367,14:31:37,Korku
368,14:31:37,Korku
369,14:31:37,Korku
370,14:31:37,Korku
371,14:31:38,Kizgin
372,14:31:38,Kizgin
373,14:31:38,Kizgin
374,14:31:38,Korku
375,14:31:38,Korku
376,14:31:39,Kizgin
377,14:31:39,Kizgin
378,14:31:39,Uzgun
379,14:31:39,Kizgin
380,14:31:39,Kizgin
381,14:31:39,Korku
382,14:31:39,Kizgin
383,14:31:39,Uzgun
384,14:31:39,Kizgin
385,14:31:39,Uzgun
386,14:31:40,Kizgin
387,14:31:40,Uzgun
388,14:31:40,Korku
389,14:31:40,Korku
390,14:31:40,Korku
391,14:31:40,Kizgin
392,14:31:40,Korku
393,14:31:40,Korku
394,14:31:40,Korku
395,14:31:40,Korku
396,14:31:40,Saskin
397,14:31:41,Korku
398,14:31:41,Korku
399,14:31:41,Korku
400,14:31:41,Korku
401,14:31:41,Korku
402,14:31:41,Korku
403,14:31:41,Korku
404,14:31:41,Korku
405,14:31:41,Kizgin
406,14:31:41,Kizgin
407,14:31:41,Kizgin
408,14:31:41,Kizgin
409,14:31:42,Korku
410,14:31:42,Korku
411,14:31:42,Kizgin
412,14:31:42,Kizgin
413,14:31:42,Korku
414,14:31:42,Korku
415,14:31:43,Korku
416,14:31:43,Korku
417,14:31:43,Korku
418,14:31:43,Korku
419,14:31:43,Korku
420,14:31:43,Korku
421,14:31:43,Korku
422,14:31:43,Kizgin
423,14:31:43,Korku
424,14:31:43,Kizgin
425,14:31:43,Kizgin
426,14:31:43,Kizgin
427,14:31:43,Korku
428,14:31:43,Saskin
429,14:31:44,Kizgin
430,14:31:44,Kizgin
431,14:31:44,Korku
432,14:31:44,Kizgin
433,14:31:44,Korku
434,14:31:44,Korku
435,14:31:44,Kizgin
436,14:31:44,Saskin
437,14:31:44,Kizgin
438,14:31:44,Korku
439,14:31:44,Korku
440,14:31:44,Korku
441,14:31:44,Kizgin
442,14:31:44,Saskin
443,14:31:44,Kizgin
444,14:31:44,Korku
445,14:31:44,Saskin
446,14:31:45,Kizgin
447,14:31:45,Saskin
448,14:31:45,Korku
449,14:31:45,Korku
450,14:31:45,Kizgin
451,14:31:45,Korku
452,14:31:45,Kizgin
453,14:31:45,Korku
454,14:31:45,Kizgin
455,14:31:45,Korku
456,14:31:45,Kizgin
457,14:31:45,Kizgin
458,14:31:45,Saskin
459,14:31:45,Kizgin
460,14:31:45,Kizgin
461,14:31:45,Korku
462,14:31:46,Kizgin
463,14:31:46,Kizgin
464,14:31:46,Mutlu
465,14:31:46,Korku
466,14:31:46,Korku
467,14:31:46,Korku
468,14:31:46,Kizgin
469,14:31:46,Korku
470,14:31:46,Kizgin
471,14:31:46,Kizgin
472,14:31:46,Korku
473,14:31:46,Kizgin
474,14:31:46,Korku
475,14:31:46,Korku
476,14:31:46,Kizgin
477,14:31:46,Korku
478,14:31:47,Korku
479,14:31:47,Kizgin
480,14:31:47,Kizgin
481,14:31:47,Korku
482,14:31:47,Kizgin
483,14:31:47,Saskin
484,14:31:47,Kizgin
485,14:31:47,Dogal
486,14:31:47,Korku
487,14:31:47,Korku
488,14:31:47,Kizgin
489,14:31:47,Kizgin
490,14:31:47,Korku
491,14:31:47,Korku
492,14:31:47,Korku
493,14:31:47,Korku
494,14:31:48,Korku
495,14:31:48,Korku
496,14:31:48,Korku
497,14:31:48,Korku
498,14:31:48,Dogal
499,14:31:48,Korku
500,14:31:48,Korku
501,14:31:48,Korku
502,14:31:48,Korku
503,14:31:48,Korku
504,14:31:48,Dogal
505,14:31:48,Korku
506,14:31:48,Korku
507,14:31:48,Korku
508,14:31:48,Korku
509,14:31:48,Dogal
510,14:31:49,Mutlu
511,14:31:49,Dogal
512,14:31:49,Dogal
513,14:31:49,Dogal
514,14:31:49,Mutlu
515,14:31:49,Dogal
516,14:31:49,Dogal
517,14:31:49,Mutlu
518,14:31:49,Dogal
519,14:31:49,Mutlu
520,14:31:49,Dogal
521,14:31:49,Uzgun
522,14:31:49,Korku
523,14:31:49,Uzgun
524,14:31:50,Dogal
525,14:31:50,Dogal
526,14:31:50,Dogal
527,14:31:50,Dogal
528,14:31:50,Korku
529,14:31:50,Korku
530,14:31:50,Korku
531,14:31:50,Dogal
532,14:31:50,Korku
533,14:31:50,Korku
534,14:31:51,Korku
535,14:31:51,Dogal
536,14:31:51,Dogal
537,14:31:51,Dogal
538,14:31:51,Dogal
539,14:31:51,Mutlu
540,14:31:51,Uzgun
541,14:31:51,Uzgun
542,14:31:51,Mutlu
543,14:31:51,Dogal
